album_title,artist_name,metascore,user_score,release_date,summary,album_url,cover_image_url,scraped_at
It's Not That Deep,by Demi Lovato,81,NA,"October 24, 2025",The ninth full-length studio release from Demi Lovato was executive produced by Zhone.,https://www.metacritic.com/music/its-not-that-deep/demi-lovato,https://static.metacritic.com/images/products/music/8/d60e97228700e7ce6c327e451c56d62e-98.jpg,2025-10-28T18:12:45Z
West End Girl,by Lily Allen,86,NA,"October 24, 2025",The first full-length release from British pop singer-songwriter Lily Allen in seven years about the collapse of a marriage was created over 16 days.,https://www.metacritic.com/music/west-end-girl/lily-allen,https://static.metacritic.com/images/products/music/0/3700212019a80d88bb34db23eb7b8286-98.jpg,2025-10-28T18:12:45Z
Nebraska '82: Expanded Edition [Box Set],by Bruce Springsteen,84,NA,"October 24, 2025","The five disc (4 CDs and 1 Blu-ray) release from Bruce Springsteen features a remaster of the 192 album, 15 previously unreleased tracks including the Electric Nebraska sessions, home recordings and a solo studio session. A live performance filmed 2025 at New Jersey's Count Basie Theatre by Thom Zimny is on the Blu-ray disc.",https://www.metacritic.com/music/nebraska-82-expanded-edition-box-set/bruce-springsteen,https://static.metacritic.com/images/products/music/7/3efc6a0bc0c61285131c7b4f224a8cd6-98.jpg,2025-10-28T18:12:45Z
Touch,by Tortoise,80,NA,"October 24, 2025","The first full-length studio release from Chicago's Tortoise since 2016's The Catastrophist was recorded in Chicago, Los Aneles and Portland, Oregon.",https://www.metacritic.com/music/touch/tortoise,https://static.metacritic.com/images/products/music/9/773835d319be9e028299005e35702bdc-98.jpg,2025-10-28T18:12:45Z
Love Chant,by The Lemonheads,76,NA,"October 24, 2025","The first full-length release of original songs from The Lemonheads since 2006's self-titled album features contributions by Bryce Goggin, The Moldy Peaches' Adam Green, Juliana Hatfield, J Mascis, Tom Morgan, Erin Rae, The Bevis Frond's Nick Saloman, and John Strohm of the Blake Babies.",https://www.metacritic.com/music/love-chant/the-lemonheads,https://static.metacritic.com/images/products/music/3/8875aaa1b2bee9fea0559714175bfe97-98.jpg,2025-10-28T18:12:45Z
Returning To Myself,by Brandi Carlile,82,NA,"October 24, 2025","The latest full-length solo release from singer-songwriter Brandi Carlile was produced with Aaron Dessner, Justin Vernon and Andrew Watt.",https://www.metacritic.com/music/returning-to-myself/brandi-carlile,https://static.metacritic.com/images/products/music/4/5ecd6759016f5c74ceba5c5c756b3085-98.jpg,2025-10-28T18:12:45Z
WE WERE JUST HERE,by Just Mustard,81,NA,"October 24, 2025",The third full-length release from Irish rock band Just Mustard was self-produced and was mixed by David Wrench.,https://www.metacritic.com/music/we-were-just-here/just-mustard,https://static.metacritic.com/images/products/music/5/8d38e11d0d6b87fdd1e4c2f23e8b199b-98.jpg,2025-10-28T18:12:45Z
Describe,by Hannah Jadagu,75,NA,"October 24, 2025",The second full-length release from New York-based pop singer-songwriter Hannah Jadagu was co-produced with Sora Lopez and Max Baby.,https://www.metacritic.com/music/describe/hannah-jadagu,https://static.metacritic.com/images/products/music/6/d4aa33bbcad9307ae8d69cf4c912a9d2-98.jpg,2025-10-28T18:12:45Z
Deadbeat,by Tame Impala,66,NA,"October 17, 2025","The latest full-length release from Kevin Parker's music project Tame Impala is said to be inspired by ""bush doof culture and the Western Australia rave scene.""",https://www.metacritic.com/music/deadbeat/tame-impala,https://static.metacritic.com/images/products/music/0/3e8cc036db3ff255892e933ffa39beed-98.jpg,2025-10-28T18:12:45Z
From The Pyre,by The Last Dinner Party,82,NA,"October 17, 2025",The second full-length release from British rock The Last Dinner Party was produce by Markus Dravs.,https://www.metacritic.com/music/from-the-pyre/the-last-dinner-party,https://static.metacritic.com/images/products/music/1/a22a31650ac064d658882709485d4463-98.jpg,2025-10-28T18:12:45Z
